Area,Utility Group,Utility,Indicator Category,Indicator Sub Category,Indicator Code,Derived,Indicator Name,Unit,Footnote (2023-2024),2023-2024,2022-2023,2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,,2398.0,3252.254,3581.148,4510.332,5214.393,7096.608,3816.495,8134.458,3447.15,2910.366,3168.806,4560.209,3346.673,2993.659,0,6077.547,5832.633,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,1461.0,657.537,1196.69,3410.706,3804.553,5105.335,2726.416,3287.34,7214.112,2382.374,4319.796,3185.184,0,3101.526,0,7259.949,6402.637,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,3859.0,3910,4778,7921,9019,12202,6543,11422,10661,5293,7489,7745,3347,6095,0,13337,12235,7352,7369,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,88.97,116.71,138.12,173.65,203.6,280.7,153.89,309.62,135.9,112.78,134.26,195.48,146.52,131.68,0,273.7,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,61.9038,44.8084,52.03,150.2867,165.7242,213.522,109.0567,133.0745,296.5719,99.9597,196.8284,147.2763,0,147.0913,0,352.1046,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,,,No data,0.7,1.38,2.1,3.2,2.8,2.64,2.8,1.9,1.7,0.7,-1.1,-1.7,-1,-1.59,-1.6,-0.3,-0.2,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,,No data,2.9,4.45,4.1,5.1,4.6,5.16,5.2,4.1,4.2,2.6,0.9,1.1,2.1,2.13,1.3,0.1,0.8,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,,No data,1.7,2.79,3,4.1,3.7,3.83,3.9,2.9,2.9,1.5,-0.2,-0.4,0.4,0.11,-0.4,-0.1,0.3,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,-22.3,-21.4,-21.6,-21.9,-19.5,-17.9,-15.1,-11.9,-9,-6,-2.4,1.1,2.9,2.8,3.6,4.5,2.8,1.9,1.6,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,1.0,>1,>1,No data,>1,>1,>1,>1,101,>100,54,12.68,0,0,3.5,0.3,0,30.5,0.9,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,,10717.47,10374.701,8894.318,16412.857,16977.257,22452.2,20729.788,20770.52,19562.922,12655.16,13926.585,6816.214,-2171.777,-3074.909,1456.03,-1509.041,-3368.205,-6637.051,-509.32,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,0.0,0.2311,0.2081,0,0.3,0.4,0.3916,0,0.2758,0.29,0.1593,-0.0652,-0.0979,0.0419,-0.0511,-0.1138,-0.2183,-0.0162,,,,0
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,,488.87,824.266,374.732,406.536,401.289,393.456,392.623,405.169,412.09,413.936,411.906,425.762,410.803,410.455,437.676,434.533,435.885,521.449,538.517,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,,765.52,1257.761,869.914,813.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,1290.0,2269.596,1505.621,1347.741,933.974,1948.088,1190.064,569.226,0,0,0,0,0,0,0,0,0,0,0,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,,13313.01,10949.916,7888.34,9135.986,10875.057,9967.16,8904.749,8799.383,8837.192,9125.812,9396.925,10215.619,9188.287,8943.153,8780.956,8851.758,,,,,,
New South Wales - Country,"Medium—20,000–50,000 connected properties",Albury City Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,15507.0,14096.923,13290.732,11403.965,13327.774,12476.643,12260.338,11956.223,12235.042,12061.81,12281.569,12663.083,12949.87,12236.598,11708.904,7747.69,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,Consumption revenue & Operating Subsidies  increased.,24940.0,19202.993,19449.28,19765.32,19193.226,19068.236,17961.914,19315.142,20059.705,17958.153,13734.971,11541.105,12422.674,12016.661,13188.045,13544.417,13670.949,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,Consumption revenue & Operating Subsidies  increased.,26363.0,20245.048,19641.107,19935.389,19362.502,19387.319,18277.72,19712.854,20395.951,18219.586,14415.397,12361.836,12952.609,12672.268,13710.945,14570.151,15213.313,14148.434,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,Residential consumption & residential tariffs operating subsidy both increased,69.75,61,58.99,59.23,59.81,59.7,59.3,61.1,61.5,62.9,63.6,65.4,61.6,59,65,66.1,63.9,68.2,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,1377.9,1066.84,1086.56,1116.68,1103.06,1095.87,1038.26,1122.98,1173.08,1061.98,821.47,695.67,776.42,751.04,824.25,902.96,995.22,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue,F7,Derived,Total income per property,$/property,,1456.52,1124.72,1097.26,1126.29,1112.79,1114.21,1056.51,1146.09,1192.75,1077.44,862.16,745.14,809.54,792.02,856.93,971.34,1108,1132.69,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,0.1797,0.0816,0.0486,0.0459,0.047,0.0457,0.0469,0,0,0,0,0,0,0,0,0,0,,,,,0
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,,153431.0,150716.61,148175.43,143758.687,136432.421,127124.77,123739.798,111200.334,111685.371,113567.088,106293.84,109186.62,145491.254,147611.05,137209.117,112885.412,112385.26,89893.991,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,860.11,788.38,717.58,682.99,673.65,615.5,593.03,622.58,616.67,601.28,571.53,665.08,499.04,510.79,456.63,554.05,557.81,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,Fluoridation project.,9118.0,6406.555,8399.136,8063.151,14032.102,5894.647,2055.786,4182.192,3158.939,3508.843,3674.564,5054.254,5388.362,4755.953,9724.197,3182.14,18104.482,4957.702,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,9118.0,6407,8399,8063,14032,5895,2056,4182,3159,3509,3675,5054,5388,4756,9724,3182,18104,4958,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,503.76,355.92,469.23,455.54,806.44,338.77,118.84,243.15,184.73,207.5,219.77,304.66,336.77,297.25,607.76,212.14,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,High ERRR due to increase in consumption  revenue,3.29,0.63,2,2.02,3.2,4.28,3.73,5.05,5.5,9.43,5.01,-0.67,-0.07,-0.49,1,2.38,2.7,3.5,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,-0.07,-0.49,1,2.38,2.7,3.5,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Dividends,F20,Report,Dividends,$ 000s,,0.0,0,1230.148,1241.739,2497.7,3135.655,2365.495,2358.931,2505.409,0,0,0,,0,,,0,0,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,0.0,0,0.746,0.764,0.842,0.8,0.7,0,0,0,0,0,0,0,0,0,0,,,,,0
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,,0.0,0,0,0,4.3,0,0,0,0,0,0,0.7,0,0,0,0,0,0,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,,1.0,>100,33.35,22.73,>100,>100,>1,>100,100,>100,44.25,0,0,0,0,0,0,0,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,Increase in consumption revenue and operating subsidies.,4212.0,1379.681,1649.492,1624.978,2967.646,3765.425,3159.278,3640.31,3967.951,2704.039,470.563,-2684.445,-180.753,-721.448,1487.808,1758.823,1738.969,1638.389,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,0.1598,0.0681,0.084,0.0815,0.1533,0.1942,0.1728,0,0.1484,0.0326,-0.2172,-0.014,-0.0569,0.1085,0.1207,0.1143,0.1158,,,,,0
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,Increase due to a new non-residential tariff operating subsidy.,4737.0,1652.7,954.675,915.579,909.115,885.277,857.187,873.724,605.495,0,0,0,0,0,0,0,0,0,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,No capital works grants in 2023/24,0.0,11514.71,11342.346,13861.817,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,Cost of Service & Corporate expense increase,15568.0,14190.708,12844.622,12088.902,11721.434,10709.688,10259.422,10708.401,10544.966,10167.7,9555.952,11033.671,7984.635,8172.674,7306.148,8310.809,,,,,,
Western Australia,"Small—10,000–20,000 connected properties",Aqwest-Bunbury Water Corporation,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,,,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,financial data to be provided later,,13757.213,13571.781,12122.683,10975.675,13952.104,16764.534,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,financial data to be provided later,,10076.674,10105.506,8465.027,8215.184,7510.457,7841.495,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,financial data to be provided later,,23833.886,23677.287,20587.71,19190.859,20901.166,24052.455,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,financial data to be provided later,,69,67,75.4,70,81.2,77.8,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F5,Derived,Revenue per property: water supply,$/property,,,1284.85,1304.87,1180,1079.57,1337.51,1671.7,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F6,Derived,Revenue per property: wastewater,$/property,,,1010.79,1079.64,919.07,905.27,826.5,894.99,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue,F7,Derived,Total income per property,$/property,,,2225.83,2276.5,2004.72,1887.47,2003.27,2397.2,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Revenue from community service obligations (CSOs),F8,Derived,Community service obligations ratio,ratio,,,No Data,0.0063,0.007,0.0098,0.008,0.0084,0,,,,,,,,,,,,,,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,F9,Report,Written-down replacement cost of fixed water supply assets,$ 000s,financial data to be provided later,,179245.997,189369.225,188691.94,193267.524,204987.133,186002.32,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,F10,Report,Written-down replacement cost of fixed wastewater assets,$ 000s,financial data to be provided later,,92381.318,116062.203,116236.574,115937.077,129621.058,125283.466,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,F11,Derived,Operating cost per property: water supply,$/property,,,586.68,597.79,737.36,1183.74,837.29,738.91,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,F12,Derived,Operating cost per property: wastewater,$/property,,,538.74,584.33,559.13,523.98,591.38,615.76,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital Expenditure,F14,Report,Capital expenditure: water supply,$ 000s,financial data to be provided later,,12554.681,2184.824,744.345,0,1459.867,1636.338,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital Expenditure,F15,Report,Capital expenditure: wastewater,$ 000s,financial data to be provided later,,358.467,205.211,3559.808,0,1306.323,2125.288,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital Expenditure,F16,Derived,Total capital expenditure: water supply and wastewater,$ 000s,,,12913,2390,4304,0,2766,3762,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital Expenditure,F28,Derived,Capital expenditure per property: water supply,$/property,,,1172.31,201.7,0,0,140.35,163.39,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital Expenditure,F29,Derived,Capital expenditure per property: wastewater,$/property,,,36.4719,22.8011,0,0,143.9474,242.6462,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Economic real rate of return,F17,Report,Economic real rate of return: water supply,ratio,financial data to be provided later,,1.6,1.59,0.2,-2.36,0.7,2.9,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Economic real rate of return,F18,Report,Economic real rate of return: wastewater,ratio,financial data to be provided later,,0.1,2.24,0.6,0.73,-0.4,0.4,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Economic real rate of return,F19,Report,Economic real rate of return: water supply and wastewater,ratio,financial data to be provided later,,1.1,1.82,0.4,-1.21,0.3,1.9,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Dividends,F20,Report,Dividends,$ 000s,financial data to be provided later,,No data,0,0,0,0,74.379,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Dividends,F21,Derived,Dividend payout ratio,ratio,,,No Data,0,0,0,0,1.3,0,,,,,,,,,,,,,,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Net debt to equity,F22,Report,Net debt to equity ratio,ratio,financial data to be provided later,,-14.9,-12.2,-11.9,-11.9,-60.9,-11,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Interest cover,F23,Report,Interest cover ratio,ratio,financial data to be provided later,,>1,39.41,>1,0,>1,>1,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Dividends,F24,Report,Net profit after tax (NPAT),$ 000s,financial data to be provided later,,4120.286,5902.035,1216.112,-3600.949,888.875,5515.018,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Net profit after tax,F30,Derived,Net profit after tax ratio,ratio,,,0.2,0,0.1,-0.1876,0,0.2293,0,,,,,,,,,,,,,,0
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Community service obligations (CSOs),F25,Report,Community service obligations ($),$ 000s,financial data to be provided later,,No data,149.447,151.432,188.215,167.939,202.408,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital works grants,F26,Report,Capital works grants: water supply,$ 000s,financial data to be provided later,,7954.007,1733.137,2297.101,3490.861,12072.391,No data,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Capital works grants,F27,Report,Capital works grants: wastewater,$ 000s,financial data to be provided later,,1060.812,,580.1,725.635,562.595,No data,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,IF11,Report,Operating cost: water supply,$ 000s,financial data to be provided later,,6278.382,6212.081,7573.91,12038.677,8735.21,7413.511,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Armidale Regional Council,Finance,Costs,IF12,Report,Operating cost: wastewater,$ 000s,financial data to be provided later,,5366.584,5469.308,5151.004,4755.1,5366.84,5390.647,,,,,,,,,,,,,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Ballina Shire Council,Finance,Revenue,F1,Report,Total revenue: water supply,$ 000s,,14886.0,16079.954,16569.64,17267.863,16958.317,18009.023,18395.995,15601.504,15042.567,14833.77,14707.381,13351.265,12428.151,13998.892,11171.56,9091.195,9106.346,8393.593,8251.307,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Ballina Shire Council,Finance,Revenue,F2,Report,Total revenue: wastewater,$ 000s,,25126.0,26216.024,29838.066,35589.923,27349.223,29875.089,32169.519,22551.525,23006.279,21523.384,20179.471,18153.81,18036.977,21312.833,15273.865,12712.301,13521.59,11632.562,12351.819,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Ballina Shire Council,Finance,Revenue,F3,Report,Total income for the utility,$ 000s,,39335.0,42256.38,45051.532,50804.14,43346.34,47247.144,50572.829,37577.59,38009.659,20698.075,34749.984,29170.076,29984.489,35308.923,26445.425,21429.561,22627.935,19971.016,17933.251,,,
New South Wales - Country,"Small—10,000–20,000 connected properties",Ballina Shire Council,Finance,Revenue,F4,Report,Percentage of residential revenue from usage charges: water supply,%,,61.0,63,61.8,62.8,65,65.8,66.3,68.1,65.4,68,68.1,66.9,65.6,66.1,70.2,66.3,66.8,65.6,64.4,,,
